자치구,연령대_100_거주인구수,구별_연령대0_거주인구_평균,구별_연령대10_거주인구_평균,구별_연령대20_거주인구_평균,구별_연령대30_거주인구_평균,구별_연령대40_거주인구_평균,구별_연령대50_거주인구_평균,구별_연령대60_거주인구_평균,구별_연령대70_거주인구_평균,구별_연령대80_거주인구_평균,구별_연령대90_거주인구_평균
강남구,7.380165289256198,1610.495867768595,2672.537190082645,3263.6570247933882,3594.235537190083,4458.074380165289,3677.685950413223,2756.2768595041325,1562.074380165289,555.900826446281,101.38429752066116
강동구,7.919786096256684,1740.2727272727273,2023.2566844919788,3324.0641711229946,3850.807486631016,3938.6363636363635,3873.9732620320856,3550.4652406417113,1719.1069518716579,605.9786096256685,101.42245989304813
강북구,6.573426573426573,1136.4405594405594,1635.909090909091,3219.8251748251746,2897.853146853147,3466.293706293706,3990.993006993007,3600.2727272727275,2272.7832167832166,928.7902097902098,111.6013986013986
강서구,5.972727272727273,1895.2363636363636,2197.159090909091,4321.954545454546,4912.486363636363,4499.409090909091,4242.5,3921.4181818181814,1954.9136363636364,762.6909090909091,125.3909090909091
관악구,6.670995670995671,992.3809523809524,1321.991341991342,5171.12987012987,4087.60606060606,3176.398268398268,3204.2943722943724,2844.878787878788,1750.6450216450216,651.7922077922078,79.28571428571429
광진구,6.3515151515151524,1229.4666666666667,1682.448484848485,4146.884848484849,3673.7454545454543,3414.6969696969695,3596.430303030303,2903.733333333333,1472.460606060606,612.9757575757576,81.96363636363637
구로구,4.787878787878787,1599.6909090909091,1883.6666666666667,3529.5333333333333,3862.260606060606,3940.8727272727274,4048.0363636363636,3696.10303030303,2080.9757575757576,779.9878787878788,98.34545454545454
금천구,6.890909090909091,1198.3545454545454,1424.3727272727272,3715.0454545454545,3588.9727272727273,3210.672727272727,3957.6272727272726,3407.6818181818185,1794.5636363636363,672.4272727272727,87.13636363636364
노원구,7.5933014354066986,1662.2248803827752,2705.6076555023924,3754.8995215311006,3348.2775119617227,4392.540669856459,4588.913875598086,3670.2535885167463,1964.8803827751196,895.4545454545455,133.01435406698565
도봉구,9.12987012987013,1265.4285714285713,1771.4545454545455,3024.2597402597407,2839.993506493506,3360.1363636363635,4016.3636363636365,3628.3831168831166,1967.5,864.0974025974026,119.62337662337663
동대문구,8.74025974025974,1424.642857142857,1653.5909090909092,4018.3116883116886,3519.0129870129867,3534.6103896103896,3747.025974025974,3361.6363636363635,1968.831168831169,843.5974025974026,104.71428571428571
동작구,11.842424242424244,1577.909090909091,1818.5636363636363,4364.866666666667,4093.4121212121213,3859.5272727272727,3867.0,3339.2909090909093,1979.581818181818,820.1818181818182,118.53333333333333
마포구,9.028409090909092,1509.8352272727273,1751.5056818181818,3856.409090909091,3992.090909090909,3771.9375,3413.744318181818,2533.6988636363635,1482.0852272727273,706.1931818181818,100.46022727272728
서대문구,10.2987012987013,1384.6818181818182,1643.0324675324675,3533.337662337662,3178.8246753246754,3292.935064935065,3483.9220779220777,2805.435064935065,1687.1233766233765,821.8961038961039,111.85714285714286
서초구,7.51010101010101,1809.030303030303,2491.69696969697,2968.373737373737,3394.9747474747473,4225.580808080808,3497.5,2671.843434343434,1506.919191919192,557.0909090909091,98.03535353535354
성동구,6.272727272727273,1159.9090909090908,1135.8128342245989,2600.8288770053477,2801.604278074866,2586.470588235294,2741.8930481283423,2195.0748663101604,1194.0695187165777,518.4652406417113,67.57754010695187
성북구,7.454545454545455,1409.090909090909,1828.768181818182,3306.9909090909086,2957.3045454545454,3428.2954545454545,3460.6545454545458,2807.9954545454543,1642.8136363636363,733.4863636363636,100.78181818181818
송파구,5.279461279461279,1812.1313131313132,2147.313131313131,3407.107744107744,3989.164983164983,3990.821548821549,3762.3872053872055,3195.505050505051,1514.4983164983164,539.9326599326599,93.25925925925925
양천구,5.095959595959595,1693.3939393939393,2774.575757575758,3248.7878787878785,3143.494949494949,4308.868686868687,4234.126262626263,3303.3838383838383,1606.4949494949497,614.7777777777778,93.95959595959596
영등포구,5.904040404040404,1405.560606060606,1326.9949494949497,3281.2878787878785,3851.984848484849,3103.20202020202,3133.181818181818,2656.5353535353534,1499.1212121212122,648.0909090909091,84.67171717171716
용산구,8.920454545454547,815.2159090909091,942.1931818181819,2082.443181818182,2375.125,2163.818181818182,2281.630681818182,1814.6477272727273,1027.75,534.6818181818181,90.01136363636364
은평구,16.198863636363637,1775.1420454545455,2357.2045454545455,4134.051136363636,4206.829545454545,4684.051136363636,4811.022727272727,4126.0,2423.9772727272725,1032.6079545454545,129.1875
종로구,5.46524064171123,424.3208556149733,627.524064171123,1358.0160427807486,1153.8877005347592,1261.0,1473.4652406417113,1189.957219251337,699.6310160427807,355.7700534759358,57.299465240641716
중구,6.260606060606061,432.1818181818182,441.83636363636367,1223.4727272727273,1329.3030303030305,1177.012121212121,1351.4303030303029,1190.2,693.0969696969697,324.6424242424243,55.4969696969697
중랑구,6.454545454545454,1373.0,1620.284090909091,3449.840909090909,3573.5625,3529.1477272727275,4265.329545454545,3742.4829545454545,1951.7329545454545,765.5852272727273,100.66477272727273
