자치구,년도,구별_총생활인구수_평균,구별_연령대0_생활인구_평균,구별_연령대10_생활인구_평균,구별_연령대20_생활인구_평균,구별_연령대30_생활인구_평균,구별_연령대40_생활인구_평균,구별_연령대50_생활인구_평균,구별_연령대60_생활인구_평균,구별_연령대70_생활인구_평균
강남구,2021.0,296939198.7486226,20940284.602883868,30653910.9015871,43153974.64753871,54798382.80600968,56312864.25364516,39242833.517087094,27129539.56916774,24707408.36321613
강동구,2021.0,244825051.76620558,19658075.47718889,24327748.833583336,28516119.98025,38012653.71415,40519803.38584444,36576133.869444445,30115754.36257222,27098762.12401111
강북구,2021.0,195865295.67514285,12354688.149164286,15959004.556942856,26102237.368471425,24977747.423949998,29521165.002842855,31176521.53367857,24936432.272235714,30837499.39107857
강서구,2021.0,261905891.8017788,22831027.992151514,22332772.016557574,35797894.63643031,47569026.993657574,44097299.6504606,35728960.832951516,27667210.402857576,25881699.268660605
관악구,2021.0,195641779.49521905,9750590.03297619,13071000.054290477,43833062.04942857,36245986.698771425,28129074.060728572,24679599.48155238,19282880.06502381,20649587.063785713
광진구,2021.0,206947489.45005333,12817450.649673335,18108539.441926666,38706539.56686,34636568.49090667,32057115.597060002,30041773.74248,21410794.956733335,19168706.97408
구로구,2021.0,235660739.21182942,19073860.427929413,18849728.73777647,30308150.961788233,40213801.13882353,40068920.58508823,34807379.538899995,26822368.601017646,25516529.18594706
금천구,2021.0,191544411.19141,9676037.96839,11042999.926520001,30525498.99892,37054965.61921,32747561.045599997,30668359.538409997,21635636.228600003,18193351.86721
노원구,2021.0,234251674.86039472,18076559.050594736,28942339.053610526,31026059.941568423,28474828.187842105,36050159.79881579,35502029.1611579,27200821.28538947,28978878.390678946
도봉구,2021.0,172029454.46850714,11918634.983642858,15418226.5155,20809907.986649998,22233957.451271426,25338272.345764287,27646044.627564285,23381478.367714286,25282932.188621428
동대문구,2021.0,223341883.53826,12819667.155973334,17062005.215193335,40277470.76090667,33803607.21986667,33231037.75396,32422571.91956667,25677545.439953335,28047978.05922667
동작구,2021.0,238242361.68662775,16311635.107094444,18580671.34561111,44338187.17106667,39123387.78626111,35423637.712294444,31870330.133955553,25591995.744327776,27002516.651894443
마포구,2021.0,249763599.6284683,15911890.448475609,19602946.682163417,47382307.59790244,48050266.13621219,43120006.56862927,32679896.223117072,21449135.441639025,21567150.547017075
서대문구,2021.0,258197475.33583847,12792362.4057,20263798.831011537,57080385.011865385,44457204.57856154,40309414.56144615,35378615.84631154,23301498.103988465,24614195.936657693
서초구,2021.0,289261012.21846086,21477656.746095654,25055388.58847826,39574427.75020435,52423160.48451739,55821626.78688696,41573755.952999994,28264859.425847825,25070136.46351739
성동구,2021.0,186960565.95038697,12935447.156,13139381.260799998,32290141.68961739,33994023.923947826,30320094.56233478,27046053.460600004,18988270.61602609,18247153.245891303
성북구,2021.0,189594060.3369321,12229771.5836283,19111385.682128303,37053629.84971887,27370456.141333964,27874219.91451132,26123429.485118866,18790415.810433965,21040751.81417736
송파구,2021.0,247406514.88682666,20632298.62646667,23200268.98788,32589967.537843335,44135390.688716665,42650712.84392,35636169.22948,26691309.85829667,21870397.032589998
양천구,2021.0,186970948.6973389,16227239.844033334,25294479.370583333,21053680.48351111,24950036.074466664,32140965.945955556,27738822.404116668,20380481.522727776,19185242.977161113
영등포구,2021.0,277167878.9573467,16086740.955837777,16002825.109508889,47003885.857597776,60934067.833451115,48158181.71646222,39062303.74031111,26762147.508631114,23157726.24446
용산구,2021.0,174801100.1053,8302748.3230131585,11158111.407442106,29463593.057807893,36120961.18394474,31691328.102289476,25371459.626702633,16704456.808831578,15988441.593194736
은평구,2021.0,238261728.53561875,17518531.03336875,22790607.61696875,30008067.6241875,35698141.4637125,38140641.4246375,35562616.20036875,27778003.7636125,30765119.36729375
종로구,2021.0,245102708.75748062,6419988.627898925,11451350.547035484,44254820.730701074,47020295.38962258,47776180.9204613,39724078.44318925,25311729.30662043,23144264.824525807
중구,2021.0,182205439.787425,3481592.538596739,5243441.456910869,31903311.551219568,43241259.04095978,40056306.07555761,29576182.990803264,16677377.346694564,12025968.8005
중랑구,2021.0,192412039.8202875,13495900.0669875,14824362.03055,25210752.90659375,28879233.03929375,28794213.10468125,31897180.076918747,24745303.986175,24565094.54315
